index,Наименование параметра,КОРВЕТ-45
0,Основные параметры станка,
1,"Диаметр сверла, мм",15..13
2,"Размер стола, мм",160 х 160
3,"Размер опорной базы (основания), мм",314 х 200
4,"Диаметр колонны, мм",
5,"Наибольшее расстояние от торца шпинделя до стола, мм",
6,"Наибольшее расстояние от торца шпинделя до основания, мм",
7,"Расстояние от шпинделя до колонны (вылет), мм",
8,Тиски в комплекте,"2,5"""
9,Шпиндель,
10,"Скорости вращения шпинделя, об/мин (Число ступеней)","580, 850, 1220, 1650, 2650 (5)"
11,"Ход шпинделя, мм",50
12,Посадка патрона,В16
13,Конус шпинделя,В16 Морзе
14,"Угол наклона шпинделя, град",-
15,"Горизонтальное перемещение шпинделя, мм",-
16,"Индикатор частоты вращения шпинделя, мм",-
17,Электрооборудование,
18,"Номинальное напряжение питания, В","220 ±22, 50 Гц"
19,"Номинальная потребляемая мощность, Вт",350
20,Тип двигателя,асинхронный
21,Габариты и масса станка,
22,"Габариты упаковки станка (длина ширина высота), мм",440 х 340 х 220
23,"Масса станка нетто/брутто, кг",14/15
