index,Наименование параметра,КР-450
0,Основные параметры станка,
1,"Класс точности (Н,П,В,А,С)",П
2,"Рабочая поверхность стола, мм",380 х 520
3,"Наибольшее перемещение стола продольно (X), мм",450
4,"Наибольшее поперечное перемещение шпиндельной бабки (Y), мм",300
5,"Наибольшее вертикальное перемещение пиноли шпинделя (Z), мм",120
6,"Наибольшее вертикальное установочное перемещение траверсы, мм",390
7,"Наименьшее и наибольшее расстояние от торца шпинделя до стола, мм",150..540
8,"Наибольший диаметр сверления в стали 45, мм",25
9,"Наибольший диаметр расточки в стали 45, мм",100
10,"Наибольшая масса обрабатываемого изделия, кг",300
11,Рабочий стол,
12,"Величина ускоренного перемещения стола, мм/мин",нет
13,"Пределы рабочих подач стола при фрезеровании, мм/мин",нет
14,"Пределы медленных доводочных подач стола при фрезеровании, мм/мин",нет
15,"Перемещение стола на одно деление лимба, мм",001
16,"Перемещение стола на один оборот лимба, мм",5
17,"Перемещение стола на одно деление нониуса, мм",0001
18,Шпиндельная бабка. Шпиндель,
19,"Частота вращения шпинделя, об/мин (ступеней)","55,90,340,550150,240,910,1500 (8)"
20,"Скорость установочных (ускоренных) перемещений шпиндельных головок, мм/мин",нет
21,Внутренний конус шпинделя (внутренний конус),Морзе 2
22,"Пределы рабочих подач гильзы вертикального шпинделя и стола, мм/об","0,025; 0,05; 0,1; 0,2 (4)"
23,Точность станка,
24,"Точность координатных перемещений стола и шпиндельных головок, мм",0001
25,"Точность установки координат, мм",0004
26,Привод,
27,Количество электродвигателей на станке,
28,"Электродвигатель привода главного движения, кВт (об/мин)","0,85 (940)"
29,"Электродвигатель привода перемещения стола (постоянного тока), кВт (об/мин)",
30,"Электродвигатель привода перемещения шпиндельных головок и шпинделей (постоянного тока), кВт (об/мин)",
31,"Электродвигатель привода перемещения Траверсы, кВт (об/мин)",
32,Электронасос охлаждающей жидкости (об/мин),
33,Габарит станка,
34,"Габариты станка, включая ход стола и салазок с рекомендуемым расположением оборудования, мм",1710 х 1425 х 2150
35,"Масса станка с приставным оборудованием, кг",1300
