index,Наименование параметра,КУСОН-3
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,Н
2,"Наибольший диаметр заготовки устанавливаемой над станиной, мм",430
3,"Высота оси центров над плоскими направляющими станины, мм",
4,"Наибольший диаметр заготовки обрабатываемой над суппортом, мм",220
5,"Наибольшая длина заготовки, устанавливаемой в центрах (РМЦ), мм","1000, 1500"
6,"Наибольшее расстояние от оси центров до кромки резцедержателя, мм",
7,"Наибольший диаметр сверла при сверлении стальных деталей, мм",
8,"Наибольшая масса заготовки, обрабатываемой в центрах, кг",
9,"Наибольшая масса заготовки, обрабатываемой в патроне, кг",
10,Шпиндель,
11,"Диаметр отверстия в шпинделе, мм",41
12,"Наибольший диаметр прутка, проходящий через отверстие в шпинделе, мм",
13,"Частота вращения шпинделя в прямом направлении, об/мин",16..3200
14,"Частота вращения шпинделя в обратном направлении, об/мин",16..3200
15,Количество прямых скоростей шпинделя,21
16,Количество обратных скоростей шпинделя,21
17,Конец шпинделя по ГОСТ 12593-72,
18,Коническое отверстие шпинделя по ГОСТ 2847-67,Метр 50
19,"Диаметр фланца шпинделя, мм",
20,"Наибольший крутящий момент на шпинделе, Нм",
21,Суппорт. Подачи,
22,"Наибольшая длина продольного перемещения, мм",
23,"Наибольшая длина поперечного перемещения, мм",
24,"Скорость быстрых продольных перемещений, мм/мин",2800
25,"Скорость быстрых поперечных перемещений, мм/мин",
26,"Максимально допустимая скорость перемещений при работе по упорам, мм/мин",
27,"Минимально допустимая скорость перемещения каретки (суппорта), мм/мин",
28,"Цена деления лимба продольного перемещения, мм",
29,"Цена деления лимба поперечного перемещения, мм",
30,"Диапазон продольных подач, мм/об",008..8
31,"Диапазон поперечных подач, мм/об",0004..4
32,Количество подач продольных,54
33,Количество подач поперечных,54
34,Количество нарезаемых резьб - метрических,54
35,Количество нарезаемых резьб - модульных,54
36,Количество нарезаемых резьб - дюймовых,54
37,Количество нарезаемых резьб - питчевых,54
38,"Пределы шагов метрических резьб, мм",0125..80
39,"Пределы шагов дюймовых резьб, ниток/дюйм",05..32
40,"Пределы шагов модульных резьб, модуль",005..40
41,"Пределы шагов питчевых резьб, питч диаметральный",005..40
42,"Наибольшее усилие, допускаемое механизмом подач на резце - продольное, Н",
43,"Наибольшее усилие, допускаемое механизмом подач на резце - поперечное, Н",
44,Резцовые салазки,
45,"Наибольшее перемещение резцовых салазок, мм",
46,"Перемещение резцовых салазок на одно деление лимба, мм",
47,"Наибольший угол поворота резцовых салазок, град",±90°
48,"Цена деления шкалы поворота резцовых салазок, град",1°
49,"Наибольшее сечение державки резца, мм",
50,"Высота от опорной поверхности резца до оси центров (высота резца), мм",
51,Число резцов в резцовой головке,4
52,Задняя бабка,
53,"Диаметр пиноли задней бабки, мм",
54,Конус отверстия в пиноли задней бабки по ГОСТ 2847-67,
55,"Наибольшее перемещение пиноли, мм",160
56,"Перемещение пиноли на одно деление лимба, мм",
57,"Величина поперечного смещения корпуса бабки, мм",
58,Электрооборудование,
59,"Электродвигатель главного привода, кВт",75
60,"Электродвигатель привода быстрых перемещений, кВт",055
61,"Электродвигатель насоса СОЖ, кВт",0125
62,Габариты и масса станка,
63,"Габариты станка (длина ширина высота) РМЦ=1000, мм",2620 х 990 х 1260
64,"Масса станка, кг",2100
