index,Наименование параметра,КШ-600
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,С
2,"Наибольший диаметр устанавливаемого изделия, мм",200
3,"Наибольшая длина устанавливаемого изделия - межцентровое расстояние (РМЦ), мм",700
4,"Наибольшая длина наружного шлифования, мм",600
5,"Наибольшая масса шлифуемого изделия, кг",30
6,"Наибольший диаметр шлифуемого отверстия, мм",50
7,"Наибольшая длина шлифуемого отверстия, мм",80
8,"Расстояние от оси шпинделя передней бабки до зеркала стола (высота центров), мм",125
9,Параметры точности станка,
10,"Круглость образца (Ø 35) при обработке в неподвижных центрах, мкм",04
11,"Постоянство диаметра образца в продольном сечении на длине 300 мм, мкм",2
12,"Шероховатость обработанной цилиндрической поверхности, Rа , мкм	0,05",005
13,Рабочий стол станка,
14,"Наибольшая продольное перемещения стола, мм",440
15,"Скорость перемещения стола (бесступенчатое регулирование), мм/мин",005..10000
16,"Наибольший угол поворота верхнего стола по часовой стрелке/ против часовой стрелки, град",5° / 11°
17,Шлифовальная бабка,
18,"Максимальный размер шлифовального круга, мм",400 х 50 х 127
19,"Частота вращения шпинделя (бесступенчатое регулирование), об/мин",1500..2700
20,"Минимальное перемещение бабки в автоматическом режиме, мм",115
21,"Минимальное перемещение бабки ручным рычагом, мм",110
22,"Скорость перемещения суппорта шлифовальной бабки, мм/мин",005..10000
23,"Стабильность позиционирования, мкм",10
24,"Угол поворота (ручной режим) шлифовальной бабки на планшайбе - по часовй стрелке, градусов:",45°
25,"Угол поворота (ручной режим) шлифовальной бабки на планшайбе - против часовй стрелки, градусов:",45°
26,"Угол поворота шлифовальной бабки на поперечных салазках - по часовй стрелке, градусов",5°
27,"Угол поворота шлифовальной бабки на поперечных салазках - против часовй стрелки, градусов",5°
28,Бабка изделия,
29,"Частота вращения шпинделя (бесступенчатое регулирование), об/мин",50..750
30,"Поворот шлифовальной бабки - по часовой стрелке / против часовой стрелки, град",30° / 90°
31,"Конус в шпинделе по ГОСТ 25557, Морзе",5АT5
32,Бабка задняя,
33,"Максимальный ход пиноли от руки, мм",20
34,"Kонус в пиноли по ГОСТ 25557, Морзе",3АT5
35,"Компенсация конусности, градусов","0,05°"
36,Привод и электрооборудование станка,
37,Количество электродвигателей на станке,
38,"Электродвигатель шпинделя шлифовальной бабки, кВт (об/мин)",4
39,"Электродвигатель шпинделя внутришлифовального, кВт (об/мин)",
40,"Электродвигатель привода изделия, кВт (об/мин)",075
41,"Электродвигатель насоса системы охлаждения, кВт (об/мин)",
42,"Установленная мощность, кВт",116
43,Габаритные размеры и масса станка,
44,"Габаритные размеры станка (длина х ширина х высота), мм",2680 х 2480 х 1915
45,"Масса станка с электрооборудованием и охлаждением, кг",3000
