index,Наименование параметра,Н-1
0,Основные параметры станка,
1,"Наибольшие размеры сечения круглой заготовки (угол реза 90°), мм",250
2,"Наибольшие размеры сечения круглой заготовки (угол реза 45°), мм",100
3,"Наибольшие размеры сечения квадратной заготовки (угол реза 90°), мм",250 х 250
4,"Наибольшие размеры сечения прямоугольной заготовки (угол реза 45°), мм",100 х 100
5,Наибольшие размеры сечения двухтаврового проката и швеллерного проката,№ 24
6,"Наибольшее расстояние от полотна доврхней части рамы, мм",223
7,"Максимальная длина отрезаемой заготовки по упору, мм",350
8,"Размеры применяемого ножовочного полотна(ДхШхТолщ.), мм",
9,"Максимальная ширина пропила, мм",25..3
10,Число двойных ходов пильной рамы в минуту,85; 110
11,"Длина хода пильной рамы, мм",
12,"Угол поворота тисков, град",
13,Механизм зажима заготовки,
14,Выключающие упоры,есть
15,"Усилие подачи гидравлики, кг",70..200
16,Ускоренный подъем и опускание пильной рамы,есть
17,Электрооборудование станка,
18,Количество электродвигателей,2
19,"Электродвигатель главного привода, кВт (об/мин)","1,5 (1400)"
20,"Электродвигатель насоса охлаждения, кВт (об/мин)","0,125 (2800)"
21,Габарит и масса пресс-ножниц,
22,"Габарит пресс-ножниц (длна х ширина х высота), мм",1500 х 1100 х 885
23,"Масса пресс-ножниц, кг",680
