index,Наименование параметра,НС-12
0,Основные параметры станка,
1,"Наибольший диаметр сверления, мм",12
2,"Наибольшее расстояние от торца шпинделя до стола, мм",-
3,"Наибольшее расстояние от торца шпинделя до основания, мм",20..420
4,"Расстояние от оси вертикального шпинделя до направляющих стойки (вылет), мм",185
5,Рабочий стол,
6,"Ширина рабочей поверхности стола, мм",360 х 360
7,Число Т-образных пазов Размеры Т-образных пазов,3
8,"Угол поворота стола в горизонтальной плоскости, град",-
9,"Угол поворота стола в вертикальной плоскости, град",-
10,Шпиндель,
11,"Наибольшее перемещение шпиндельной головки, мм",300
12,"Ход гильзы шпинделя, мм",100
13,"Частота вращения шпинделя, об/мин","450, 710, 1400, 2500, 4500"
14,Количество скоростей шпинделя,5
15,Конус шпинделя,Морзе 2
16,Привод,
17,"Электродвигатель привода главного движения, кВт (об/мин)",065
18,Габарит и масса станка,
19,"Габариты станка (длина ширина высота), мм",770 х 465 х 700
20,"Масса станка, кг",121
