index,Наименование параметра,НС-12М
0,Основные параметры станка,
1,"Наибольший диаметр сверления, мм",12
2,"Наибольшее расстояние от торца шпинделя до стола, мм",-
3,"Наибольшее расстояние от торца шпинделя до основания, мм",300
4,"Расстояние от оси вертикального шпинделя до направляющих стойки (вылет), мм",200
5,Рабочий стол,
6,"Ширина рабочей поверхности стола, мм",300
7,Число Т-образных пазов Размеры Т-образных пазов,
8,"Угол поворота стола в горизонтальной плоскости, град",-
9,"Угол поворота стола в вертикальной плоскости, град",-
10,Шпиндель,
11,"Наибольшее перемещение шпиндельной головки, мм",
12,"Ход гильзы шпинделя, мм",100
13,"Частота вращения шпинделя, об/мин","880, 1500, 2880"
14,Количество скоростей шпинделя,3
15,Конус шпинделя,В18
16,Привод,
17,"Электродвигатель привода главного движения, кВт (об/мин)",037
18,Габарит и масса станка,
19,"Габариты станка (длина ширина высота), мм",810 х 450 х 910
20,"Масса станка, кг",140
