index,Наименование параметра,НСФ-1
0,Основные параметры станка,
1,"Наибольший условный диаметр сверления в стали 45, мм",12
2,"Наибольший диаметр торцевой фрезы для обработки стали 45, мм",14
3,Диапазон нарезаемых резьб,
4,Наименьшее и наибольшее расстояние от торца шпинделя до стола,185..470
5,"Расстояние от оси вертикального шпинделя до направляющих стойки (вылет), мм",215
6,Основной рабочий стол,
7,"Размеры рабочей поверхности основного стола, мм",350 х 370
8,Число Т-образных пазов Размеры Т-образных пазов,1
9,Крестовый рабочий стол,
10,"Размеры рабочей поверхности крестового 2-х координатного стола, мм",145 х 331
11,Число Т-образных пазов Размеры Т-образных пазов,1
12,"Наибольшая масса заготовки, кг",
13,"Цена деления лимбов стола, мм",005
14,"Наибольшее перемещение продольное х поперечное, (по осям X и Y), мм",140 х 140
15,"Шпиндель, шпиндельная головка",
16,"Наибольшее установочное перемещение шпиндельной головки, мм",
17,"Ход гильзы шпинделя, мм",75
18,"Частота вращения шпинделя, об/мин","715, 915, 1460"
19,Количество скоростей шпинделя,3
20,Размер внутреннего конуса шпинделя,Морзе 2
21,"Цена деления вертикального перемещения шпинделя, мм",
22,"Диапазон механических подач шпинделя, об/мин",нет
23,Привод,
24,"Электродвигатель привода главного движения, кВт (об/мин)",075
25,Габарит и масса станка,
26,"Габариты станка (длина ширина высота), мм",1135 х 350 х 790
27,"Масса станка, кг",190
