index,Наименование параметра,ОРША-Ф32
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,П
2,"Размеры рабочей поверхности стола (длина х ширина), мм",1400 Х 320
3,"Наименьшее и наибольшее расстояние от оси горизонтального шпинделя до стола, мм",40..450
4,"Расстояние от оси горизонтального шпинделя до хобота, мм",
5,"Расстояние от торца шпинделя поворотной головки до стола, мм",130..540
6,"Расстояние от оси шпинделя поворотной головки до направляющих станины (вылет), мм",
7,Рабочий стол,
8,"Наибольшее перемещение стола продольное ось X/ поперечное ось Y/ вертикальное ось Z, мм",840/ 320/ 410
9,"Максимальная нагрузка на стол (по центру), кг",300
10,Число Т-образных пазов Размеры Т-образных пазов,3
11,"Перемещение стола на одно деление лимба (продольное, поперечное, вертикальное), мм",
12,"Перемещение стола на один оборот лимба продольное и поперечное, мм",
13,"Перемещение стола на один оборот лимба вертикальное, мм",
14,"Быстрый ход стола продольный/ поперечный/ вертикальный, м/мин","3/ 3/ 0,8"
15,Число ступеней рабочих подач стола,
16,"Пределы рабочих подач стола. Продольных и поперечных, мм/мин (число ступеней)",25..1250
17,"Пределы рабочих подач стола. Вертикальных, мм/мин (число ступеней)",6..320
18,"Усилие резания продольной, поперечной, вертикальной подач, Н",
19,Шпиндель,
20,"Частота вращения шпинделя поворотной и накладной головок, об/мин (число ступеней)",71..2240 (Б/с)
21,Количество скоростей шпинделя,Б/с
22,"Частота вращения горизонтального шпинделя, об/мин (число ступеней)",25..2000 (Б/с)
23,Количество скоростей горизонтального шпинделя,(Б/с)
24,"Перемещение пиноли (гильзы) шпинделя, мм",70
25,"Перемещение пиноли шпинделя на одно деление лимба, мм",
26,"Перемещение пиноли шпинделя на один оборот лимба, мм",
27,"Поворот вертикальной шпиндельной головки в продольной столу плоскости, град",±45°
28,"Поворот вертикальной шпиндельной головки в поперечной столу плоскости, град",±45°
29,"Поворот накладной шпиндельной головки в горизонтальной плоскости, град",360°
30,"Наибольший крутящий момент на горизонтальном шпинделе, Н.м",1000
31,"Наибольший крутящий момент на вертикальном шпинделе, Н.м",210
32,Конец горизонтального шпинделя по ГОСТ 24644-81 (конус по ГОСТ 15945-82),ISO-50
33,Эскиз конца шпинделя поворотной и накладной головки по ГОСТ 24644-81,ISO-40
34,"Допустимый диаметр фрез при черновой обработке. Горизонтальный/ вертикальный шпиндель, мм",
35,Механика станка,
36,"Выключающие упоры подачи (продольной, поперечной, вертикальной)",есть
37,"Блокировка ручной и механической подачи (продольной, поперечной, вертикальной)",есть
38,Блокировка раздельного включения подачи,есть
39,Автоматическая прерывистая подача Продольная,есть
40,Автоматическая прерывистая подача Поперечная и вертикальная,нет
41,Торможение шпинделя,есть
42,Предохранение от перегрузки (муфта),есть
43,Привод и электрооборудование,
44,Количество электродвигателей на станке,
45,"Электродвигатель привода главного движения, кВт",75
46,"Электродвигатель привода шпинделя поворотной головки, кВт",40
47,"Электродвигатель насоса охлаждающей жидкости, кВт",
48,"Электродвигатель привода подач стола, кВт",22
49,"Электродвигатель привода зажима инструмента, кВт",Гидравл
50,"Суммарная мощность всех электродвигателей на станке, кВт",
51,Габариты и масса станка,
52,"Габариты станка (длина х ширина х высота), мм",2454 х 1890 х 2425
53,"Масса станка, кг",3500
