index,Наименование параметра,Р-105
0,Основные параметры станка,
1,Класс точности,Н
2,"Наибольший диаметр заготовки, устанавливаемой над станиной, мм",140
3,"Наибольший диаметр заготовки, обрабатываемой над суппортом, мм",
4,"Высота центров над плоскими направляющими станины, мм",70
5,"Наибольшая длина заготовки, обрабатываемой в центрах (РМЦ), мм",550
6,Шпиндель,
7,"Диаметр сквозного отверстия в шпинделе, мм",нет
8,Число ступеней частот вращения шпинделя,2
9,"Частота вращения шпинделя, об/мин",1400; 2000
10,Торможение шпинделя,нет
11,Суппорт,
12,Привод подачи суппорта,ручной
13,"Наибольшее продольное перемещение суппорта, мм",500
14,"Продольное перемещение суппорта за один оборот штурвала, мм",29; 75
15,"Наибольшее поперечное перемещение суппорта, мм",70
16,"Перемещение суппорта поперечное на одно деление лимба, мм",005
17,"Перемещение суппорта поперечное на один оборот лимба, мм",3
18,Фрезерная головка,
19,Привод подачи фрезы,ручной
20,"Частота вращения фрезерной головки, об/мин",2760
21,"Наибольший вертикальный ход фрезы, мм",40
22,"Вертикальная подача фрезы за один оборот маховичка, мм",6
23,"Наибольший продольный ход фрезы, мм",500
24,"Продольная подача фрезы за один оборот маховичка, мм",29; 7
25,Электрооборудование. Привод,
26,Параметры питающей сети,"220/380 В, 50 Гц"
27,"Электродвигатель привода шпинделя, кВт (об/мин)","0,4 (1400)"
28,"Электродвигатель привода фрезерной головки, кВт (об/мин)","0,08 (2760)"
29,Габариты и масса станка,
30,"Габариты станка (длина ширина высота), мм",1100 х 480 х 400
31,"Масса станка, кг",110
