index,Наименование параметра,РТ755Ф3
0,Основные параметры станка,
1,Класс точности станка по ГОСТ 8—82,Н
2,"Наибольший диаметр обрабатываемого изделия над станиной, мм",1000
3,"Наибольший диаметр обрабатываемого изделия над суппортом, мм",570
4,"Наибольшая длина обрабатываемого изделия (РМЦ), мм",2800
5,"Наибольшая масса обрабатываемого изделия, кг",5000
6,Количество управляемых осей (всего/ одновременно),2/ 2
7,Шпиндель,
8,"Диаметр отверстия в шпинделе, мм",105
9,"Наибольший диаметр прутка проходящего через отверстие в шпинделе, мм",100
10,"Пределы оборотов шпинделя, об/мин (количество скоростей)",5..800 (4 ступени)
11,Конец шпинделя по ГОСТ 12593-72,1-15М
12,Размер центра в шпинделе по ГОСТ 18259-72,Метрич. 80
13,"Наибольший крутящий момент на шпинделе, кгс*м",1100
14,Суппорт,
15,"Наибольшее перемещение суппорта: продольное/ поперечное, мм",2645/ 560
16,"Высота резца, устанавливаемого в резцедержателе, мм",40
17,"Количество инструментов, устанавливаемых в резцедержатель, мм",8
18,"Размеры нарезаемых метрических резьб, мм",до 40
19,"Диапазон скоростей подач (продольных и поперечных), мм/мин",1..1200/ 1..600
20,"Скорость быстрых ходов (продольных/ поперечных), м/мин",5/ 5
21,"Дискретность задания перемещения (продольного/ поперечного, мм",0001
22,"Точность перемещения (продольного/ поперечного, мм",
23,"Наибольшее усилие подачи (продольное/ поперечное), кг",3500/ 1340
24,Задняя бабка,
25,Центр шпинделя задней бабки по ГОСТ 13214-67,Морзе 6
26,"Наибольшее перемещение пиноли, мм",300
27,"Скорость перемещения пиноли, мм/мин",125/ 500
28,"Скорость перемещения задней бабки, мм/мин",2300
29,Параметры систем ЧПУ,
30,Обозначение системы ЧПУ,Синумерик 7Т
31,Количество управляемых координат (всего/ одновременно),2/2
32,"Дискретность отсчета перемещений по осям X и Z, мм","0,001/ 0,001"
33,Электрооборудование и приводы станка,
34,Электросеть,"380/220 В,50 Гц"
35,Количество электродвигателей на станке,13
36,"Электродвигатель главного привода, кВт (об/мин)",55 (1100
37,"Электродвигатель приводов подач, кВт (об/мин)",
38,"Электродвигатель резцедержки, кВт (об/мин)","1,5 (1500)"
39,"Электродвигатель станции смазки, кВт (об/мин)","0,55 (2800)"
40,"Электродвигатель смазки бабки шпиндельной, кВт (об/мин)","1,1 (1500)"
41,"Электродвигатель смазки суппорта, кВт (об/мин)",
42,"Электродвигатель насоса охлаждения, кВт (об/мин)","0,15 (2800)"
43,"Электродвигатель привода продольного перемещения - крутящий момент, Нм (об/мин)",75 (1000)
44,"Электродвигатель привода поперечного перемещения - крутящий момент, Нм (об/мин)",25 (1200)
45,"Электродвигатель привода перемещения пиноли задней бабки, кВт (об/мин)","0,91/ 1,5/ 2,1(750/ 1500/ 3000)"
46,"Электродвигатель привода перемещения задней бабки, кВт (об/мин)","1,1 (1000)"
47,"Электродвигатель привода зажима задней бабки, кВт (об/мин)","1,1 (1500)"
48,"Суммарная мощность электродвигателей, кВт",
49,"Суммарная мощность станка, кВт",
50,Габариты и масса станка,
51,"Габариты станка (длина х ширина х высота), мм",8000 х 2650 х 1805
52,"Масса станка с ЧПУ, кг",15000
