index,Наименование параметра,С-25 (2)
0,Основные параметры станка,
1,"Наибольший условный диаметр сверления, мм",1..5
2,Наименьшее и наибольшее расстояние от торца шпинделя до стола,0..270
3,"Расстояние от оси вертикального шпинделя до направляющих стойки (вылет), мм",185
4,Рабочий стол,
5,"Размеры рабочей поверхности стола, мм",180 х 500
6,Число Т-образных пазов Размеры Т-образных пазов,-
7,Шпиндель,
8,"Наибольшее перемещение шпиндельной головки по колонне, мм",210
9,"Ход гильзы шпинделя, мм",75
10,"Частота вращения шпинделя, об/мин","1600, 2500, 40003200, 5000, 8000"
11,Количество скоростей шпинделя,6
12,Конус шпинделя,В10 (1)
13,Привод,
14,"Электродвигатель привода, кВт (об/мин)","0,4 (1400, 2800)"
15,Тип электродвигателя,АОЛ 21-2
16,Габарит и масса станка,
17,"Габариты станка (длина ширина высота), мм",590 х 450 х 560
18,"Масса станка, кг",128
