index,Наименование параметра,С-95
0,Основные параметры станка,
1,Класс точности,Н
2,"Наибольший диаметр заготовки над станиной, мм",50
3,"Наибольший диаметр заготовки над суппортом, мм",12
4,"Высота центров над плоскими направляющими станины, мм",32
5,"Наибольшая длина заготовки в центрах (РМЦ), мм",125
6,"Наибольшая длина обтачивания, мм",
7,"Наибольшая высота держателя резца, мм",6 х 9
8,"Высота от опорной поверхности резца до линии центров, мм",6
9,"Наибольшее расстояние от оси центров до кромки резцедержателя, мм",
10,Шпиндель,
11,"Диаметр сквозного отверстия в шпинделе, мм",8
12,Конус Морзе шпинделя,39°30`
13,Число ступеней частот прямого вращения шпинделя,3
14,"Частота прямого вращения шпинделя, об/мин",1300..3000
15,Суппорт. Подачи,
16,"Наибольшее поперечное перемещение суппорта, мм",44
17,"Перемещение суппорта поперечное на одно деление лимба, мм",001
18,"Наибольшее перемещение резцовых салазок, мм",38
19,"Перемещение резцовых салазок на одно деление лимба, мм",001
20,"Угол поворота резцовых салазок, град",±90°
21,Задняя бабка,
22,Конус задней бабки,39°30`
23,"Наибольшее перемещение пиноли, мм",30
24,Электрооборудование,
25,"Электродвигатель главного привода, кВт","0,15 2700 об/мин"
26,Габариты и масса станка,
27,"Габариты станка (длина ширина высота), мм",420 х 200 х 250
28,"Масса станка, кг",192
