index,Наименование параметра,С193Н
0,Основные параметры станка,
1,Класс точности,П
2,"Наибольший диаметр заготовки над станиной, мм",200
3,"Наибольший диаметр заготовки над суппортом, мм",120
4,"Высота центров над плоскими направляющими станины, мм",100
5,"Наибольшая длина заготовки в центрах (РМЦ), мм",500
6,"Наибольшая длина обработки при одной установке суппорта, мм",90
7,"Наибольшая высота / ширина резца, мм",20 / 10
8,Шпиндель,
9,"Диаметр сквозного отверстия в шпинделе, мм",20
10,"Диаметр отверстия в цанге, мм",
11,Число ступеней частот вращения шпинделя,6
12,"Частота вращения шпинделя, об/мин",255..3100
13,Суппорт,
14,"Продольное перемещение суппорта без переустановки, мм",90
15,"Наибольшее поперечное перемещение суппорта, мм",90
16,"Цена деления лимба при продольном перемещении суппорта, мм",002
17,"Цена деления лимба при поперечном перемещении суппорта, мм",002
18,"Перемещение суппорта продольное на один оборот лимба, мм",2
19,"Перемещение суппорта поперечное на один оборот лимба, мм",2
20,"Наибольшее перемещение верхних (резцовых) салазок, мм",
21,"Перемещение резцовых салазок на одно деление лимба, мм",
22,"Угол поворота верхней каретки суппорта, град",±90°
23,Задняя бабка,
24,Конус Морзе задней бабки,Морзе 1
25,"Наибольшее перемещение пиноли, мм",70
26,Электрооборудование,
27,"Напряжение питания электродвигателя, В",380/220
28,"Электродвигатель привода, кВт (об/мин)","0,8; 1,8; 2,0 (700; 1400; 2800)"
29,Габариты и масса станка,
30,"Габариты станка (длина ширина высота), мм",1240 х 550 х 1215
31,"Масса станка с принадлежностями, кг",600
