index,Наименование параметра,СА564
0,Основные параметры станка,
1,"Наибольший диаметр заготовки обрабатываемой над станиной, мм",500
2,"Наибольший диаметр заготовки обрабатываемой над суппортом, мм",290
3,"Наибольший диаметр заготовки обрабатываемой над выемкой (Г), мм",700
4,"Наибольшая длина устанавливаемой детали (РМЦ), мм","1000, 1500, 2000"
5,"Наибольшая масса обрабатываемого изделия в центрах, кг","900, 1300, 1800"
6,"Наибольшая масса обрабатываемого изделия в патроне, кг",300
7,"Наибольший диаметр сверла для серления в стали, мм",
8,Шпиндель,
9,Конец шпинделя,К6 ГОСТ 12593
10,"Диаметр шпиндельного фланца, мм",290
11,Центр в шпинделе с конусом,Метрический 100
12,"Диаметр отверстия в шпинделе, мм",95
13,"Частота вращения шпинделя, об/мин",16..1600
14,Количество прямых и обратных скоростей шпинделя,22
15,"Наибольший крутящий момент на шпинделе, кНм",1
16,Суппорт. Подачи,
17,"Наибольшее перемещение продольного суппорта, мм",
18,"Наибольшее перемещение поперечного суппорта, мм",
19,"Цена деления лимба поперечного суппорта, мм",005
20,"Наибольшее перемещение резцовых салазок, мм",150
21,"Диапазон продольных подач, мм/об",005..28
22,"Диапазон поперечных подач, мм/об",0025..14
23,Количество продольных/ поперечных подач,
24,"Скорость быстрых перемещений продольных/ поперечных, м/мин","3,8/ 1,9"
25,"Пределы шагов метрических резьб, мм",05..112
26,"Пределы шагов модульных резьб, модуль",05..112
27,"Пределы шагов дюймовых резьб, ниток/дюйм",56..05
28,"Пределы шагов питчевых резьб, питч диаметральный",56..05
29,Задняя бабка,
30,"Наибольшее перемещение пиноли задней бабки, мм",150
31,Центр пиноли задней бабки,Морзе 5
32,"Цена деления либа перемещения пиноли задней бабки, мм",01
33,Электрооборудование,
34,"Электродвигатель главного привода, кВт",11
35,"Электродвигатель ускоренных перемещений, кВт",
36,"Электродвигатель СОЖ, кВт",
37,"Суммарная мощность установленных на станке электродвигателей, кВт",
38,Габариты и масса станка,
39,"Габариты станка (длина ширина высота), мм","2800, 3380, 3880 х 1295 х 1575"
40,"Масса станка, кг","3100, 3600, 4100"
