index,Наименование параметра,СВ-20
0,Основные параметры станка,
1,"Наибольший условный диаметр сверления, мм",14
2,Число шпинделей,5
3,Наименьшее и наибольшее расстояние от торца шпинделя до стола,20..320
4,"Расстояние от оси вертикального шпинделя до направляющих стойки (вылет), мм",
5,Рабочий стол,
6,"Ширина рабочей поверхности стола, мм",1080 х 400
7,Число Т-образных пазов,-
8,Шпиндель,
9,"Наибольшее перемещение шпиндельной (сверлильной) головки по колонне, мм",320
10,"Ход гильзы шпинделя (пиноли), мм",100
11,"Частота вращения шпинделя, об/мин","850, 1460, 2310"
12,Количество скоростей шпинделя,3
13,Конус шпинделя,Морзе 2В
14,Патрон сверлильный к шпинделю,ПС-15
15,"Перемещение шпинделя за 1 оборот штурвала, мм",816
16,"Наибольшее усилие, допускаемое механизмом подачи, кг",240
17,Привод,
18,"Электродвигатель привода главного движения, кВт (об/мин)","1,1 (1400) х 5"
19,Габарит и масса станка,
20,"Габариты станка (длина ширина высота), мм",1800 х 1020 х 900
21,"Масса станка, кг",860
