index,Наименование параметра,СН
1,Основные параметры,
2,Класс точности по ГОСТ 8-82,Н
3,"Наибольший диаметр заготовки над станиной, мм",175
4,"Наибольший диаметр заготовки над суппортом, мм",90
5,"Наибольшая длина заготовки (РМЦ), мм",215
6,"Наибольшая высота резца, мм",10 х 16
7,Шпиндель,
8,"Диаметр сквозного отверстия в шпинделе, мм",15
9,"Наибольший диаметр прутка, мм",14
10,Число ступеней частот прямого вращения шпинделя,12
11,"Частота прямого вращения шпинделя, об/мин",160..3150
12,"Размер внутреннего конуса в шпинделе, М",Морзе 2
13,Конец шпинделя резьбовой,М
14,Суппорт. Подачи,
15,"Наибольшая продольная длина хода каретки, мм",215
16,"Цена деления лимба продольных подач, мм",05
17,"Наибольшая поперечная длина хода каретки, мм",90
18,"Цена деления лимба поперечных подач, мм",005
19,Число ступеней продольных подач,
20,"Пределы продольных подач, мм/об",нет
21,"Пределы поперечных подач, мм/об",нет
22,"Скорость быстрых перемещений суппорта, продольных, м/мин",нет
23,Количество нарезаемых резьб метрических,
24,"Пределы шагов нарезаемых резьб метрических, мм",нет
25,Подвижный резцедержатель (Резцовые салазки),
26,"Цена деления лимба резцовых салазок, мм",005
27,"Наибольшее перемещение салазок, мм",
28,"Наибольший угол поворота резцовых салазок, мм",±90°
29,Задняя бабка,
30,"Цена деления лимба, мм",нет
31,Размер внутреннего конуса пиноли,Морзе 1
32,"Наибольшее перемещение пиноли, мм",40
33,"Поперечное смещение корпуса задней бабки, мм",нет
34,Электрооборудование,
35,"Напряжение питающей сети, В",~220 В
36,Количество электродвигателей на станке,1
37,"Мощность электродвигателя главного привода, кВт",055
38,Габариты и масса станка,
39,"Габариты станка, мм",770 х 460 х 360
40,"Масса станка, кг",85
