index,Наименование параметра,СНС-12-01
0,Основные параметры станка,
1,"Наибольший диаметр сверления, мм",12
2,"Наибольший диаметр фрезерования, мм",12
3,Наибольшее расстояние от торца шпинделя до стола,350
4,"Расстояние от оси вертикального шпинделя до направляющих стойки (вылет), мм",
5,Рабочий стол,
6,"Ширина рабочей поверхности стола, мм",250
7,Число Т-образных пазов Размеры Т-образных пазов,3
8,"Наибольшее перемещение стола, продольное х поперечное, мм",250 х 190
9,Шпиндель,
10,"Наибольшее перемещение шпиндельной головки, мм",
11,"Ход гильзы шпинделя, мм",100
12,"Частота вращения шпинделя, об/мин",400..4500 (5)
13,Количество скоростей шпинделя,5
14,Конус шпинделя,В18
15,Привод,
16,"Электродвигатель привода главного движения, кВт (об/мин)","0,55 (1370)"
17,Габарит и масса станка,
18,"Габариты станка (длина ширина высота), мм",750 х 350 х 980
19,"Масса станка, кг",155
