index,Наименование параметра,СТМК-150
0,Основные параметры станка,
1,"Наибольший диаметр заготовки над станиной, мм",140
2,"Наибольший диаметр заготовки над суппортом, мм",
3,"Наибольшая длина заготовки в центрах (РМЦ), мм",250
4,"Рекомендуемая глубина точения за один проход, мм",01
5,"Максимальная глубина точения за один проход, мм",02
6,"Максимальный размер державки резца, мм",8 х 8
7,Шпиндель,
8,"Диаметр сквозного отверстия в шпинделе, мм",9
9,Присоединение шпинделя,2МК
10,Число ступеней частот прямого вращения шпинделя,б/с
11,"Частота прямого вращения шпинделя, об/мин",100..2000
12,"Диаметр токарного патрона, мм",80
13,Суппорт (поперечный ползун). Подачи,
14,"Наибольшее продольное перемещение каретки суппорта, мм",
15,"Перемещение суппорта продольное на одно деление лимба, мм",
16,"Наибольшее поперечное перемещение суппорта, мм",60
17,"Перемещение суппорта поперечное на одно деление лимба, мм",0025
18,"Угол поворота резцовых салазок, град",±45°
19,"Пределы продольных рабочих подач суппорта, мм/об","0,05; 0,10"
20,"Пределы шагов нарезаемых резьб метрических, мм","0,5; 0,7; 0,8; 1,0; 1,25"
21,"Пределы шагов нарезаемых резьб дюймовых, ниток на дюйм","16..24, 5 шагов"
22,Сверлильно-фрезерная приставка,
23,"Максимальный диаметр сверления, мм",10
24,"Конус сверлильного шпинделя, мм",MT2
25,"Электродвигатель постоянного тока, Вт",150
26,"Частота вращения шпинделя (нижний ряд), об/мин",100..1000
27,"Частота вращения шпинделя (верхний ряд), об/мин",100..2000
28,"Частота вращения шпинделя (верхний ряд), об/мин",100..2000
29,"Габариты приставки (упаковочный ящик), мм",700 x 430 x 620
30,"Масса приставки, кг",45/51
31,Задняя бабка,
32,Конус пиноли,1МК
33,"Наибольшее перемещение пиноли, мм",1МК
34,Электрооборудование,
35,"Номинальное напряжение питания, В",220 в 50 Гц
36,"Электродвигатель постоянного тока главного привода, Вт",150
37,Габариты и масса станка,
38,"Габариты станка (длина ширина высота), мм",540 х 300 х 270
39,"Масса станка, кг",346
