index,Наименование параметра,СТМН-550
0,Основные параметры станка,
1,"Наибольший диаметр заготовки над станиной, мм",180
2,"Наибольший диаметр заготовки над суппортом, мм",
3,"Наибольшая длина заготовки в центрах (РМЦ), мм",350
4,"Рекомендуемая глубина точения за один проход, мм",
5,"Максимальная глубина точения за один проход, мм",
6,"Максимальный размер державки резца, мм",8 х 8
7,Шпиндель,
8,"Диаметр сквозного отверстия в шпинделе, мм",20
9,Присоединение шпинделя,
10,Число ступеней частот прямого вращения шпинделя,б/с
11,"Частота прямого вращения шпинделя, об/мин",0..2500
12,"Диаметр токарного патрона, мм",100
13,Суппорт (поперечный ползун). Подачи,
14,"Наибольшее продольное перемещение каретки суппорта, мм",
15,"Перемещение суппорта продольное на одно деление лимба, мм",
16,"Наибольшее поперечное перемещение суппорта, мм",65
17,"Перемещение суппорта поперечное на одно деление лимба, мм",
18,"Наибольшее перемещение резцовых салазок (верхний суппорт, составной ползун), мм",35
19,"Угол поворота резцовых салазок, град",±45°
20,"Пределы продольных рабочих подач суппорта, мм/об",
21,"Пределы шагов нарезаемых резьб метрических, мм","0,5..2,5 мм, 9 шагов"
22,"Пределы шагов нарезаемых резьб дюймовых, ниток на дюйм",
23,Задняя бабка,
24,"Наибольшее перемещение пиноли, мм",
25,Электрооборудование,
26,"Номинальное напряжение питания, В",220 в 50 Гц
27,"Электродвигатель постоянного тока главного привода, кВт",055
28,Габариты и масса станка,
29,"Габариты станка (длина ширина высота), мм",810 х 310 х 320
30,"Масса станка, кг",45
