index,Наименование параметра,СФ-16
0,Основные параметры станка,
1,"Наибольший условный диаметр сверления в стали 45, мм",16
2,"Наибольший диаметр торцевой фрезы для обработки стали 45, мм",100
3,Диапазон нарезаемых резьб,М5..М22
4,Наименьшее и наибольшее расстояние от торца шпинделя до стола,82..482
5,"Расстояние от оси вертикального шпинделя до направляющих стойки (вылет), мм",280
6,Основной рабочий стол,
7,"Размеры рабочей поверхности основного стола, мм",-
8,Число Т-образных пазов Размеры Т-образных пазов,-
9,Крестовый рабочий стол,
10,"Размеры рабочей поверхности крестового 2-х координатного стола, мм",320 х 900
11,Число Т-образных пазов Размеры Т-образных пазов,3
12,"Наибольшая масса заготовки, кг",100
13,"Цена деления лимбов стола, мм",005
14,"Наибольшее перемещение продольное х поперечное, (по осям X и Y), мм",500 х 200
15,"Шпиндель, шпиндельная головка",
16,"Наибольшее установочное перемещение шпиндельной головки, мм",400
17,"Ход гильзы шпинделя, мм",100
18,"Частота вращения шпинделя, об/мин",180..2800
19,Количество скоростей шпинделя,6 (2 по 3)
20,Размер внутреннего конуса шпинделя,Морзе 3
21,"Цена деления вертикального перемещения шпинделя, мм",
22,"Диапазон механических подач шпинделя, об/мин",нет
23,Привод,
24,"Электродвигатель привода главного движения, кВт (об/мин)",17
25,Габарит и масса станка,
26,"Габариты станка (длина ширина высота), мм",1260 х 1062 х 1145
27,"Масса станка, кг",420
