index,Наименование параметра,Т-4
0,Основные параметры станка,
1,Класс точности,Н
2,"Наибольший диаметр заготовки над станиной, мм",320
3,"Наибольший диаметр заготовки над суппортом, мм",112
4,"Высота центров над плоскими направляющими станины, мм",160
5,"Наибольшая длина заготовки в центрах (РМЦ), мм",750
6,"Наибольшая длина заготовки в патроне, мм",
7,"Наибольшая длина обтачивания, мм",730
8,"Наибольшая высота держателя резца (ширина х высота), мм",17 х 30
9,"Высота от опорной поверхности резца до линии центров, мм",20
10,"Наибольшее расстояние от оси центров до кромки резцедержателя, мм",154
11,Шпиндель,
12,"Резьбовой конец шпинделя, мм",М52 х 6
13,"Диаметр стандартного патрона, мм",200
14,"Диаметр сквозного отверстия в шпинделе, мм",26
15,"Наибольший диаметр прутка, мм",25
16,Конус Морзе шпинделя,№4
17,Число ступеней частот прямого вращения шпинделя,6
18,"Частота прямого вращения шпинделя, об/мин","56, 98, 165, 269, 476, 800"
19,Число ступеней частот обратного вращения шпинделя,
20,"Частота обратного вращения шпинделя, об/мин",
21,Торможение шпинделя,
22,Блокировка рукояток,нет
23,Суппорт. Подачи,
24,"Наибольшее продольное перемещение суппорта, мм",720
25,"Перемещение суппорта продольное на одно деление лимба, мм",-
26,"Наибольшее поперечное перемещение суппорта, мм",170
27,"Перемещение суппорта поперечное на одно деление лимба, мм",005
28,"Перемещение суппорта поперечное на один оборот лимба, мм",4
29,"Наибольшее перемещение резцовых салазок, мм",100
30,"Перемещение резцовых салазок на одно деление лимба, мм",005
31,"Перемещение резцовых салазок на один оборот лимба, мм",4
32,"Угол поворота резцовых салазок, град",360°
33,Число ступеней продольных подач суппорта,
34,"Пределы продольных рабочих подач суппорта, мм/об",0027..228
35,"Пределы рабочих поперечных подач суппорта, мм/об",0008..0711
36,Количество нарезаемых резьб метрических,
37,"Пределы шагов нарезаемых резьб метрических, мм",04..10
38,Пределы шагов нарезаемых резьб дюймовых,3..40
39,Пределы шагов нарезаемых резьб модульных,1..3
40,Пределы шагов нарезаемых резьб питчевых,нет
41,Задняя бабка,
42,Конус Морзе задней бабки,№3
43,"Наибольшее перемещение пиноли, мм",90
44,"Наибольшее поперечное перемещение бабки, мм",±20
45,Электрооборудование,
46,"Электродвигатель главного привода, кВт (об/мин)","1,3 (1430)"
47,Габариты и масса станка,
48,"Габариты станка (длина ширина высота), мм",1780 х 795 х 1250
49,"Масса станка, кг",500
