index,Наименование параметра,ТВ-4
0,Основные параметры станка,
1,Класс точности,Н
2,"Наибольший диаметр заготовки над станиной, мм",200
3,"Наибольший диаметр заготовки над суппортом, мм",125
4,"Высота центров над плоскими направляющими станины, мм",108
5,"Наибольшая длина заготовки в центрах (РМЦ), мм",350
6,"Наибольшая длина заготовки в патроне, мм",
7,"Наибольшая длина обтачивания, мм",300
8,"Наибольшая высота держателя резца, мм",10 х 12
9,"Высота от опорной поверхности резца до линии центров, мм",12
10,"Наибольшее расстояние от оси центров до кромки резцедержателя, мм",78
11,Шпиндель,
12,"Резьбовой конец шпинделя, мм",М36 х 4
13,"Диаметр стандартного патрона, мм",100
14,"Диаметр сквозного отверстия в шпинделе, мм",16
15,"Наибольший диаметр прутка, мм",15
16,Конус Морзе шпинделя,№2
17,Число ступеней частот прямого вращения шпинделя,6
18,"Частота прямого вращения шпинделя, об/мин","120, 160, 230, 375, 500, 710"
19,Торможение шпинделя,нет
20,Блокировка рукояток,нет
21,Суппорт. Подачи,
22,"Наибольшее продольное перемещение суппорта, мм",300
23,"Перемещение суппорта продольное на одно деление лимба, мм",05
24,"Наибольшее поперечное перемещение суппорта, мм",100
25,"Перемещение суппорта поперечное на одно деление лимба, мм",0025
26,"Наибольшее перемещение резцовых салазок, мм",50
27,"Перемещение резцовых салазок на одно деление лимба, мм",0025
28,"Угол поворота резцовых салазок, град",±45°
29,Число ступеней продольных подач суппорта,3
30,"Пределы продольных рабочих подач суппорта, мм/об","0,08; 0,1; 0,12"
31,"Пределы рабочих поперечных подач суппорта, мм/об",нет
32,Количество нарезаемых резьб метрических,3
33,"Пределы шагов нарезаемых резьб метрических, мм","0,8; 1,0; 1,25"
34,"Пределы шагов нарезаемых резьб дюймовых, ниток на дюйм",нет
35,"Пределы шагов нарезаемых резьб модульных, мм",нет
36,Пределы шагов нарезаемых резьб питчевых,нет
37,Задняя бабка,
38,Конус Морзе задней бабки,№2
39,"Наибольшее перемещение пиноли, мм",65
40,Электрооборудование,
41,"Напряжение питающей сети, В",~380
42,"Электродвигатель главного привода, кВт (об/мин)",10
43,Габариты и масса станка,
44,"Габариты станка (длина ширина высота), мм",1440 х 470 х 1020
45,"Масса станка, кг",280
