index,Наименование параметра,ТНП-111
0,Основные параметры станка,
1,"Наибольший диаметр заготовки над станиной, мм",150
2,"Наибольший диаметр заготовки над суппортом, мм",80
3,"Наибольшая длина заготовки в центрах (РМЦ), мм",280
4,"Наибольшая длина обработки заготовки в патроне, мм",250
5,"Максимальный размер державки резца, мм",10 х 10
6,"Наибольший диаметр сверления по стали, мм",6
7,Передняя бабка. Шпиндель,
8,"Диаметр сквозного отверстия в шпинделе, мм",152
9,Присоединение патрона к шпинделю,Морзе 2
10,Число ступеней частот прямого вращения шпинделя,5
11,"Частота прямого вращения шпинделя, об/мин",600..4000
12,"Диаметр токарного патрона, мм",80
13,Суппорт. Подачи,
14,"Наибольшее продольное перемещение каретки суппорта, мм",200
15,"Перемещение суппорта продольное на одно деление лимба, мм",005
16,"Наибольшее поперечное перемещение суппорта, мм",65
17,"Перемещение суппорта поперечное на одно деление лимба, мм",001
18,Конус в шпинделе передней бабки,Морзе 1
19,"Пределы продольных рабочих подач суппорта, мм/об",нет
20,"Пределы шагов нарезаемых резьб метрических, мм",нет
21,"Пределы шагов нарезаемых резьб дюймовых, ниток на дюйм",нет
22,Задняя бабка,
23,"Наибольшее перемещение пиноли, мм",20
24,Конус задней бабки,Морзе 1
25,Электрооборудование,
26,"Номинальное напряжение питания, В",220 в 50 Гц
27,"Электродвигатель постоянного тока главного привода, кВт",075
28,Габариты и масса станка,
29,"Габариты станка (длина ширина высота), мм",860 х 485 х 300
30,"Масса станка, кг",90
