index,Наименование параметра,ТС-135М
0,Основные параметры,
1,Класс точности,П
2,"Наибольший диаметр заготовки, обрабатываемой над станиной, мм",260
3,"Наибольший диаметр заготовки, обрабатываемой над суппортом, мм",140
4,"Наибольшая длина заготовки (РМЦ), мм",500
5,"Наибольшая длина обточки, мм",400
6,"Высота оси центров над плоскими направляющими станины (высота центров), мм",135
7,"Высота от опорной поверхности резца до линии центров, мм",16
8,"Наибольшее расстояние от линии центров до кромки резцедержателя, мм",145
9,Шпиндель,
10,Тип опорных подшипников,Качения
11,"Диаметр сквозного отверстия в шпинделе, мм",20
12,Число ступеней частот прямого вращения шпинделя (число рабочих скоростей),12
13,"Частота прямого вращения шпинделя, об/мин",475..2144
14,"Размер внутреннего конуса в шпинделе, М",Конус морзе 3
15,Конец шпинделя,"М45 х 4,5"
16,Торможение шпинделя,нет
17,Блокировка рукояток,есть
18,Суппорт. Подачи,
19,"Наибольшее перемещение продольной каретки суппорта от руки, мм",560
20,"Наибольшее перемещение поперечной каретки суппорта, мм, мм",180
21,"Перемещение продольной каретки суппорта на одно деление лимба, мм",нет
22,"Перемещение поперечной каретки суппорта на одно деление лимба, мм, мм",001
23,Число ступеней продольных и поперечных подач,9
24,"Пределы продольных рабочих подач, мм/об",0018..046
25,"Пределы поперечных рабочих подач, мм/об",00067..0171
26,Количество нарезаемых резьб метрических,70
27,"Пределы шагов нарезаемых резьб метрических, мм",02..127
28,Количество нарезаемых резьб дюймовых,25
29,Пределы шагов нарезаемых резьб дюймовых,2..24
30,Количество нарезаемых резьб модульных,12
31,Пределы шагов нарезаемых резьб модульных,025..3
32,"Скорость быстрых перемещений суппорта, м/мин",нет
33,Резьбоуказатель,нет
34,Блокировка рукояток,
35,Защита от перегрузки,есть
36,Выключающие упоры,есть
37,Резцовые салазки,
38,"Наибольшие размеры державки резца (ширина х высота), мм",16 х 20
39,"Наибольшее перемещение резцовых салазок, мм",95
40,"Перемещение резцовых салазок на одно деление лимба, мм",005
41,"Наибольший угол поворота резцовых салазок, град",±90°
42,"Цена деления шкалы поворота резцовых салазок, град",1°
43,Число резцов в резцовой головке,4
44,Задняя бабка,
45,"Диаметр пиноли задней бабки, мм",
46,Конус отверстия в пиноли задней бабки,Морзе №3
47,"Наибольшее перемещение пиноли, мм",110
48,"Величина поперечного смещения корпуса бабки, мм",±15
49,Электрооборудование,
50,Количество электродвигателей на станке,2
51,"Мощность электродвигателя главного привода, кВт",28
52,Тип электродвигателя главного привода,А-42/4
53,"Мощность электродвигателя насоса охлаждения, кВт",0125
54,Габариты и масса станка,
55,"Габариты станка (длина ширина высота), мм",1725 х 860 х 1400
56,"Масса станка, кг",800
