index,Наименование параметра,ТС-6010С
0,Основные параметры станка,
1,"Диаметр шлифовального круга, мм",Ø49.3xØ10.2x7.5
2,Зернистость шлифовального круга,180
3,"Заточка сверл диаметром, мм",2..10
4,"Заточка зубил и лезвий шириной, мм",6..51
5,Электрооборудование,
6,"Номинальное напряжение питания, В",220 в 50 Гц
7,"Электродвигатель главного привода, Вт",100
8,"Число оборотов электродвигателя на холостом ходу, об/мин",6700
9,Габариты и масса станка,
10,"Габариты станка (длина ширина высота), мм",180 x 200 x 150
11,"Масса станка, кг",18
