index,Наименование параметра,ТШ-3
0,Шлифовальный круг,
1,Количество шлифовальных кругов,2
2,Тип шлифовальных кругов,ГОСТ 2424-83
3,"Наружный диаметр круга, мм",400
4,"Высота круга, мм",50
5,"Посадочный диаметр круга, мм",127
6,"Диаметр изношенного круга, мм",240
7,Класс неуравновешенности,"1, 2"
8,"Высота центров от основания, мм",950
9,"Рекомендуемая высота затачиваемых резцов, мм",
10,"Диаметр затачиваемых сверл, мм",
11,"Угол при вершине сверла, град",
12,"Задний угол, град",
13,"Угол поворота, град",
14,"Диаметр контактного ролика, мм",
15,"Ширина шлифовальной ленты, мм",
16,"Длина шлифовальной ленты, мм",
17,"Усилие натяжения шлифовальной ленты, Н",
18,"Наибольший диаметр полировального круга, мм",
19,"Наибольшая высота полировального круга, мм",
20,"Диаметр отверстия полировального круга, мм",
21,Шпидель,
22,"Частота вращения, 1/мин",950
23,"Максимальная скорость резания, м/с",20
24,"Конец шлифовального шпинделя (диаметр/длина), мм",
25,Электрооборудование,
26,"Электродвигатель привода, кВт",30
27,Габариты и масса станка,
28,"Габариты станка (длина ширина высота), мм",660 х 600 х 1670
29,"Масса станка, кг",220
