index,Наименование параметра,ТШ-4 (ОРША)
0,Основные параметры станка,
1,Количество шлифовальных кругов,2
2,"Наибольший наружный диаметр круга, мм",400
3,"Наибольшая высота (ширина) круга, мм",50
4,"Посадочный диаметр круга, мм",203
5,"Диаметр изношенного круга, мм",
6,Класс неуравновешенности,
7,"Высота центров от основания, мм",950
8,"Расстояние между кругами, мм",
9,"Габариты стола, мм",
10,"Количество столов, мм",
11,Шпидель,
12,"Частота вращения, об/мин",1440
13,"Максимальная скорость резания, м/с",
14,Электрооборудование,
15,Питающая сеть,~380 В 50 Гц
16,"Электродвигатель привода, кВт",75
17,Габариты и масса станка,
18,"Габариты станка (длина ширина высота), мм",1000 х 620 x 1315
19,"Масса станка, кг",560
