index,Наименование параметра,УГ9321
0,Основные параметры,
1,Количество позиций,6
2,"Расстояние от базовой поверхности до оси головки, мм",121
3,"Диаметр отверстия в инструментальном диске под резцедержатели по ГОСТ 24900, мм",50H7
4,"Максимальный допустимый крутящий (опрокидывающий) момент от усилия резания, кНм",26
5,"Стабильность индексации головки в радиальном направлении, мкм, не более:",5
6,"Стабильность индексации головки в осевом направлении, мкм, не более:",10
7,"Максимальная масса режущих и вспомогательных инструментов, кг",
8,Направление вращения,Одностор.
9,"Время смены инструмента min/ max, сек",
10,"Посадочная поверхность инструментального диска: диаметр, мм","Конус 7°7`30"""
11,"Электрооборудование, привод головки",
12,"Напряжение питающей сети, В",~380 50Гц
13,"Напряжение цепи управления, В",24
14,"Электродвигатель привода, кВт",037
15,Тип датчика,ПКГ-6
16,Выходной сигнал,Контакт геркона
17,Габариты и масса автоматической головки,
18,"Габаритные размеры основания головки, мм",690 х 400 х 450
19,"Масса автоматической головки, кг",142
