index,Наименование параметра,УНИВЕРСАЛ-3М
0,Основные параметры станка,
1,"Наибольший диаметр заготовки над станиной, мм",150
2,"Наибольший диаметр заготовки над суппортом, мм",90
3,"Наибольшая длина заготовки в центрах (РМЦ), мм",250
4,"Рекомендуемая глубина точения за один проход, мм",
5,"Максимальная глубина точения за один проход, мм",
6,"Максимальный размер державки резца, мм",8 х 8
7,"Наибольший диаметр сверления по стали, мм",6
8,Передняя бабка. Шпиндель,
9,"Диаметр сквозного отверстия в шпинделе, мм",15
10,Присоединение патрона к шпинделю,М27х2
11,Размер конуса шпинделя,Морзе №2
12,Число ступеней частот прямого вращения шпинделя,9
13,"Частота прямого вращения шпинделя, об/мин",200..3200
14,"Диаметр токарного патрона, мм",80
15,"Ход гильзы передней бабки, мм",-
16,Суппорт (поперечный ползун). Подачи,
17,"Наибольшее продольное перемещение каретки суппорта, мм",215
18,"Перемещение суппорта продольное на одно деление лимба, мм",005
19,"Наибольшее поперечное перемещение суппорта, мм",90
20,"Перемещение суппорта поперечное на одно деление лимба, мм",005
21,"Наибольшее перемещение резцовых салазок (верхний суппорт, составной ползун), мм",
22,"Цена деления шкалы поворота резцовых салазок, град",1
23,"Пределы продольных рабочих подач суппорта, мм/об",005..0175
24,"Пределы шагов нарезаемых резьб метрических, мм",02..25
25,Задняя бабка,
26,"Наибольшее перемещение пиноли, мм",30
27,Конус задней бабки,Морзе 2
28,Электрооборудование,
29,"Номинальное напряжение питания, В",220 В 50 Гц
30,"Электродвигатель главного привода, Вт",550
31,Габариты и масса станка,
32,"Габариты станка (длина ширина высота), мм",690 х 410 х 230
33,"Масса станка, кг",62
