index,Наименование параметра,Ф-2А
0,Основные параметры станка,
1,"Производительность станка, шт/ч",
2,"Расстояние от оси шпинделя до направляющих стойки (вылет), мм",80
3,"Расстояние от оси шпинделя до боковых салазок, мм",
4,Шпиндельная бабка,
5,"Максимальное перемещение шпиндельной бабки в горизонтальной и вертикальной плоскостях, мм",50
6,"Угол наклона шпиндельной бабки, град",-
7,"Конус в шпинделе специальный под цангу, град",29°
8,"Отверстие в шпинделе под цангу, мм",9
9,"Точность обработки при фрезеровании, мм",
10,"Частота вращения шпинделя, об/мин","2120, 3350, 5300"
11,Стол,
12,"Размеры продольных салазок, мм",230 х 120
13,"Размеры поперечных салазок, мм",225 х 120
14,"Диаметр рабочей поверхности стола, мм",100
15,"Максимальное продольное перемещение стола, мм",85
16,"Максимальный вертикальный ход стола, мм",50
17,"Цена деления лимба перемещения стола, мм",001
18,"Угол наклона стола в вертикальной плоскости, град",
19,"Угол поворота стола, град",270°
20,Привод и электрооборудование,
21,"Напряжения питания, В",220/380
22,Количество электродвигателей на станке,1
23,"Электродвигатель привода главного движения, кВт (об/мин)","0,27 (2800)"
24,Габариты и масса станка,
25,"Габариты станка (длина х ширина х высота), мм",620 х 520 х 720
26,"Масса станка, кг",
