index,Наименование параметра,ФУ-321
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,
2,"Размеры рабочей поверхности стола (длина х ширина), мм",
3,"Наименьшее и наибольшее расстояние от оси горизонтального шпинделя до стола, мм",
4,"Расстояние от оси горизонтального шпинделя до хобота, мм",
5,"Расстояние от торца шпинделя поворотной головки до стола, мм",
6,"Расстояние от оси шпинделя поворотной головки до направляющих станины (вылет), мм",
7,Рабочий стол,
8,"Наибольшее перемещение стола продольное/ поперечное/ вертикальное, мм",
9,"Максимальная нагрузка на стол (по центру), кг",
10,Число Т-образных пазов Размеры Т-образных пазов,
11,"Перемещение стола на одно деление лимба (продольное, поперечное, вертикальное), мм",
12,"Перемещение стола на один оборот лимба продольное и поперечное, мм",
13,"Перемещение стола на один оборот лимба вертикальное, мм",
14,"Быстрый ход стола продольный/ поперечный/ вертикальный, м/мин",
15,Число ступеней рабочих подач стола,
16,"Пределы рабочих подач стола. Продольных и поперечных, мм/мин",
17,"Пределы рабочих подач стола. Вертикальных, мм/мин",
18,"Усилие резания продольной, поперечной, вертикальной подач, Н",
19,Шпиндель,
20,"Частота вращения шпинделя поворотной и накладной головок, об/мин",
21,Количество скоростей шпинделя,
22,"Частота вращения горизонтального шпинделя, об/мин",
23,Количество скоростей горизонтального шпинделя,
24,"Перемещение пиноли (гильзы) шпинделя, мм",
25,"Перемещение пиноли шпинделя на одно деление лимба, мм",
26,"Перемещение пиноли шпинделя на один оборот лимба, мм",
27,"Поворот головки шпинделя к станине/ от станины, град",
28,"Поворот головки шпинделя в продольной плоскости, град",
29,"Поворот накладной головки шпинделя в продольной плоскости, град",
30,"Наибольший крутящий момент на горизонтальном шпинделе, кН.м",
31,Конец горизонтального шпинделя по ГОСТ 24644-81 (конус по ГОСТ 15945-82),
32,Эскиз конца шпинделя поворотной и накладной головки по ГОСТ 24644-81,
33,"Допустимый диаметр фрез при черновой обработке. Горизонтальный/ вертикальный шпиндель, мм",
34,Механика станка,
35,"Выключающие упоры подачи (продольной, поперечной, вертикальной)",
36,"Блокировка ручной и механической подачи (продольной, поперечной, вертикальной)",
37,Блокировка раздельного включения подачи,
38,Автоматическая прерывистая подача Продольная,
39,Автоматическая прерывистая подача Поперечная и вертикальная,
40,Торможение шпинделя,
41,Предохранение от перегрузки (муфта),
42,Привод и электрооборудование,
43,Количество электродвигателей на станке,
44,"Электродвигатель привода главного движения М1, кВт",
45,"Электродвигатель привода шпинделя поворотной головки М2, кВт",
46,"Электродвигатель насоса охлаждающей жидкости М3, кВт",
47,"Электродвигатель привода подач стола М4, кВт",
48,"Электродвигатель привода зажима инструмента, кВт",
49,"Суммарная мощность всех электродвигателей на станке, кВт",
50,Габариты и масса станка,
51,"Габариты станка (длина х ширина х высота), мм",
52,"Масса станка, кг",
